Song,Artist,Weeks On #1,Weeks On Chart
Love Me Like You Mean It,Kelsea Ballerini,0,4
Love You Like That,Canaan Smith,0,5
Make It Rain,Koryn Hawthorne,0,0
Make Me Wanna,Thomas Rhett,0,20
"Mary, Did You Know?",Pentatonix,0,6
Masterpiece,Jessie J,0,3
Mean To Me,Brett Eldredge,0,20
Monster,Meek Mill,0,0
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,0,0
Nasty,Bandit Gang Marco Featuring Dro,0,0
Nasty Freestyle,T-Wayne,0,2
Neon Light,Blake Shelton,0,20
New Romantics,Taylor Swift,0,0
Night Changes,One Direction,0,20
No Love,August Alsina,0,18
No Tellin',Drake,0,2
No Type,Rae Sremmurd,0,26
Nobody Love,Tori Kelly,0,9
Not For Long,B.o.B Featuring Trey Songz,0,9
Nothing Without Love,Nate Ruess,0,0
Now & Forever,Drake,0,0
Often,The Weeknd,0,20
One Last Time,Ariana Grande,0,11
One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,0,0
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",0,25
Only One,Kanye West Featuring Paul McCartney,0,8
Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,0,0
Outside,Calvin Harris Featuring Ellie Goulding,0,20
Paradise,Big Sean,0,0
Perfect Storm,Brad Paisley,0,17
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,0,16
Prayer In C,Lillywood & Robin Schulz,0,20
Preach,Drake Featuring PARTYNEXTDOOR,0,2
Raise 'Em Up,Keith Urban Featuring Eric Church,0,9
Rather Be,Clean Bandit Featuring Jess Glynne,0,31
Renegades,X Ambassadors,0,2
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",0,3
Riptide,Vance Joy,0,44
Rude,MAGIC!,0,41
Sangria,Blake Shelton,0,2
Santa Tell Me,Ariana Grande,0,5
Say You Do,Dierks Bentley,0,15
See You Again,Wiz Khalifa Featuring Charlie Puth,3,7
Shake It Off,Taylor Swift,0,36
She Don't Love You,Eric Paslay,0,8
She Knows,Ne-Yo Featuring Juicy J,0,20
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",0,3
Shotgun Rider,Tim McGraw,0,20
Shots,Imagine Dragons,0,3
Shut Up And Dance,WALK THE MOON,0,24
Sippin' On Fire,Florida Georgia Line,0,7
Sledgehammer,Fifth Harmony,0,15
Slow Motion,Trey Songz,0,11
Smoke,A Thousand Horses,0,9
Soldier,Damien,0,0
Somebody,Natalie La Rose Featuring Jeremih,0,14
Something Big,Shawn Mendes,0,3
Something In The Water,Carrie Underwood,0,20
Somewhere In My Car,Keith Urban,0,20
Stay With Me,Sam Smith,0,54
Steal My Girl,One Direction,0,18
Stolen Dance,Milky Chance,0,25
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,0,10
Style,Taylor Swift,0,20
Sugar,Maroon 5,0,15
Sun Daze,Florida Georgia Line,0,20
Take It On Back,Chase Bryant,0,8
Take Me To Church,Hozier,0,37
Take Your Time,Sam Hunt,0,17
Talking Body,Tove Lo,0,13
Talladega,Eric Church,0,20
Tear In My Heart,twenty one pilots,0,0
The Blacker The Berry,Kendrick Lamar,0,0
The Body,Wale Featuring Jeremih,0,6
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,0,17
The Heart Wants What It Wants,Selena Gomez,0,20
The Matrimony,Wale Featuring Usher,0,4
These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",0,0
Thinking Out Loud,Ed Sheeran,0,29
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,0,17
Til It's Gone,Kenny Chesney,0,14
Time Of Our Lives,Pitbull & Ne-Yo,0,20
Title,Meghan Trainor,0,0
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,0,20
Trap Queen,Fetty Wap,0,14
Trouble,Iggy Azalea Featuring Jennifer Hudson,0,5
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,0,14
Trumpets,Jason Derulo,0,32
